Index,Name,Location,Duration (hrs) - avg,Duration (hrs) - std,Preference ,Cost - avg,Cost - std,Fatigue Score,
55,Navajo Loop & Queens Garden,"Sunrise Point, Bryce Canyon National Park, Bryce, UT 84764",2.5,0.5,8,0,0,1,
56,Scenic Drive to Rainbow Point,"Rainbow Point, Bryce Canyon National Park, Bryce, UT 84764",1.5,0.3,9,0,0,0.5,
57,Horseshoe Bend Overlook,"1001 Page Parkway, Page, AZ 86040",1.5,0.3,9,10,0,1,
58,Lower Antelope Canyon Tour,"Indn Route 222, Page, AZ 86040",2,0.4,6,125,0,0.5,
59,Monument Valley Loop Drive,"U.S. 163 Scenic, Oljato-Monument Valley, AZ 84536",2,0.4,9,16,0,1,
60,Mesa Arch Sunrise,"Grand View Point Rd, Moab, UT 84532",1,0.2,10,0,0,0.5,***add a constraint for being start_time being between 
61,Delicate Arch Hike,"Delicate Arch Trailhead, Arches National Park, Moab, UT 84532",3,0.6,9,0,0,1.25,
62,Devils Garden to Landscape Arch,"Devils Garden Trailhead, Arches National Park, Moab, UT 84532",1.5,0.3,8,0,0,1,
63,South Kaibab 'Ooh Aah Point',"Grand Canyon Backcountry Info Center, Grand Canyon Village, AZ 86023",2,0.4,9,0,0,1,
64,Bright Angel Point,"Grand Canyon Lodge North Rim, AZ 86052",1,0.2,8,0,0,1,
65,Best Friends Sanctuary Tour,"5001 Angel Canyon Rd, Kanab, UT 84741",2,0.4,7,0,0,0.5,
66,Coral Pink Sand Dunes,"12500 Sand Dune Rd, Kanab, UT 84741",1.5,0.3,6,15,0,0.5,
67,Hell's Revenge 4x4 Tour,"606 S Main St, Moab, UT 84532, USA",3,0.6,5,270,0,0.5,
